Id,Score,Col_1,Col_4,Col_6,Col_7,Col_9,Col_11,Col_12,Col_15,Col_17,Col_18,Col_19,Col_20,Col_23,Col_24,Col_27,Col_28,Col_29
1,1,17,a,2,2,b,d,c,k,i,1,1,b,3,b,f,c,b
2,6,16,a,0,6,b,e,a,j,g,3,2,b,2,b,h,a,b
3,1,23,a,1,11,b,d,f,r,f,0,0,a,1,b,l,a,b
4,4,17,b,1,10,b,d,f,k,i,1,2,b,1,d,h,a,b
5,5,23,a,3,10,b,c,f,i,c,1,0,b,1,d,j,a,b
6,4,13,b,0,5,b,d,a,r,i,1,0,a,3,b,f,a,b
7,4,21,a,5,13,b,c,h,i,c,3,5,b,1,b,a,a,b
8,4,6,a,2,4,b,c,a,b,a,0,0,a,2,b,b,a,b
9,1,4,a,2,16,b,c,f,b,a,3,0,b,1,b,b,a,b
10,3,18,b,2,18,b,d,f,k,i,1,1,b,1,b,h,a,b
11,17,16,a,5,6,b,d,f,k,i,1,0,b,2,b,h,d,b
12,1,18,a,0,0,b,c,b,e,b,4,0,a,2,b,e,a,b
13,1,22,a,3,11,d,c,c,i,c,1,3,a,1,b,j,e,b
14,3,20,b,2,14,b,c,e,i,c,1,2,a,3,b,d,a,b
15,5,5,a,3,8,b,c,h,b,c,3,4,a,3,b,b,a,b
16,4,19,a,4,7,b,c,f,d,c,1,2,a,1,b,b,a,a
17,1,3,a,2,2,b,a,b,b,a,1,0,b,1,b,b,a,b
18,4,18,a,5,14,b,c,a,i,c,3,2,a,1,b,b,a,c
19,1,17,a,2,12,b,d,b,r,f,0,0,b,1,b,f,c,b
20,6,6,b,4,17,b,c,a,b,c,1,5,b,1,b,j,a,b
21,7,18,a,3,5,b,d,f,r,i,1,1,a,1,b,h,a,b
22,5,5,a,1,12,b,d,f,r,f,3,9,b,1,b,k,a,b
23,6,18,a,0,5,b,d,h,k,g,1,9,b,1,b,f,a,b
24,4,19,b,1,11,b,d,f,r,f,1,11,a,1,b,h,a,b
25,7,11,b,0,10,b,d,f,k,i,3,8,b,3,b,f,a,b
26,4,6,a,4,5,b,d,a,r,g,1,5,b,1,b,f,a,b
27,3,6,a,3,18,b,c,f,e,c,1,0,a,3,b,b,a,b
28,4,21,a,0,12,b,d,c,n,f,1,0,a,3,b,f,a,b
29,10,7,a,5,16,b,c,f,i,a,1,2,a,1,b,b,c,b
30,5,7,a,1,18,b,c,f,a,a,1,3,b,1,b,b,a,b
31,1,7,a,4,8,b,c,f,b,f,1,0,a,1,b,b,a,b
32,2,3,a,2,1,b,c,b,i,a,1,0,a,1,b,j,a,a
33,3,14,a,0,5,b,c,a,b,a,1,0,b,2,b,b,a,b
34,1,9,a,0,8,b,d,f,r,i,0,5,b,1,b,i,a,b
35,1,9,a,1,4,b,d,f,m,f,3,3,b,1,b,h,a,b
36,4,13,a,1,4,a,d,a,k,i,0,0,a,1,b,l,a,b
37,4,6,a,0,4,b,d,g,k,g,0,0,b,1,b,f,a,d
38,1,17,b,1,8,b,c,a,i,c,1,0,b,1,b,b,a,b
39,1,17,a,0,18,b,d,a,j,i,1,10,a,3,b,f,a,d
40,7,1,a,0,6,b,d,f,r,i,5,7,a,4,b,f,a,b
41,10,14,a,4,6,b,c,f,d,b,1,5,a,3,b,b,h,b
42,7,6,a,4,3,b,c,f,b,f,3,4,b,1,b,b,a,b
43,5,4,a,3,6,b,d,f,r,i,0,3,b,1,b,f,a,b
44,7,4,a,3,4,b,a,b,c,a,1,0,a,3,b,b,f,b
45,4,17,a,1,7,b,c,h,e,c,1,2,a,1,b,b,a,b
46,2,18,a,3,12,d,c,a,a,c,1,0,b,1,b,b,a,b
47,4,4,a,2,1,b,c,b,c,a,2,0,a,1,b,b,f,d
48,4,21,a,4,15,b,d,a,r,g,3,5,b,1,d,f,a,b
49,4,18,a,0,16,b,c,f,i,b,0,9,a,1,b,b,a,b
50,4,16,a,3,8,b,d,a,j,i,1,4,b,3,b,f,a,b
51,3,18,a,5,18,b,d,a,j,g,0,11,a,2,b,f,a,b
52,1,18,a,1,8,b,c,f,e,c,1,0,b,3,b,b,a,b
53,1,22,b,2,13,b,d,f,k,i,1,0,a,3,b,f,a,b
54,1,6,a,0,2,b,a,a,b,f,3,2,a,3,b,j,a,b
55,1,0,a,0,12,b,c,f,a,a,2,0,a,1,c,b,a,b
56,1,8,a,3,3,b,e,f,k,i,1,0,b,1,b,f,b,b
57,1,17,a,5,13,b,a,f,i,a,0,0,a,1,a,a,a,b
58,7,11,a,1,12,b,d,g,r,f,2,0,b,1,b,f,e,b
59,6,10,a,3,4,b,d,a,k,g,0,4,a,3,b,h,a,b
60,1,0,b,0,2,b,c,f,b,b,1,0,a,1,b,b,a,b
61,5,4,a,2,8,b,d,a,k,i,1,3,a,3,b,f,a,b
62,2,3,b,2,3,b,c,h,i,a,1,2,a,1,b,b,a,b
63,4,1,a,0,8,b,d,f,r,i,1,0,a,1,b,h,a,b
64,4,6,a,2,5,b,e,a,j,g,1,5,b,3,b,h,a,b
65,7,14,a,1,14,b,c,c,i,b,0,0,a,1,b,j,b,b
66,1,4,a,3,14,b,c,f,b,f,4,0,b,1,b,a,a,d
67,4,14,a,8,8,a,d,h,j,f,3,10,a,1,b,f,a,b
68,3,16,a,4,4,b,c,a,b,a,1,2,b,3,b,b,a,b
69,6,4,b,2,5,b,e,a,k,g,1,3,b,1,b,h,a,b
70,7,17,b,4,12,b,c,f,i,c,1,0,b,3,b,j,a,b
71,1,18,b,1,4,b,d,b,p,i,5,4,b,1,b,f,c,b
72,1,5,a,3,7,b,d,f,r,i,3,1,b,1,b,f,a,b
73,7,7,b,4,4,b,c,b,i,a,1,0,a,1,b,b,a,b
74,1,4,a,2,3,b,a,f,b,a,0,1,a,3,b,b,a,b
75,11,3,a,2,5,b,e,a,k,g,1,6,a,3,b,f,a,b
76,8,18,a,1,7,b,d,a,p,g,1,9,a,1,b,h,a,b
77,1,4,a,1,1,a,d,b,k,i,2,2,b,3,b,h,f,b
78,11,13,a,3,6,b,d,c,j,i,6,4,b,1,b,f,a,b
79,1,13,a,2,6,b,d,a,r,g,5,8,a,1,b,f,a,b
80,1,3,b,2,16,b,d,a,k,i,1,2,b,3,b,g,a,b
81,7,21,a,0,13,b,d,c,m,i,0,2,a,1,b,h,a,b
82,4,11,a,5,15,b,c,a,g,a,3,0,b,2,b,b,a,b
83,1,18,a,6,12,b,c,a,i,c,3,2,a,1,b,b,a,b
84,4,14,a,4,3,b,c,a,b,b,1,8,b,1,b,b,a,b
85,1,5,a,3,18,b,c,f,b,a,3,0,b,1,b,b,a,d
86,13,17,a,5,8,b,c,b,e,c,0,0,b,1,b,b,a,b
87,11,17,a,4,7,b,c,f,b,f,5,6,a,1,b,b,a,b
88,5,5,a,3,12,b,d,f,m,f,0,0,b,1,b,l,a,d
89,1,16,a,1,8,b,c,a,b,c,0,11,b,3,b,b,a,b
90,8,17,a,0,5,b,d,c,k,i,1,2,a,3,b,f,a,b
91,1,7,a,1,14,b,d,f,k,i,2,11,b,3,b,f,a,b
92,8,7,b,0,16,b,d,f,k,i,4,0,a,1,b,f,b,b
93,4,20,b,2,9,b,d,f,r,i,2,3,a,1,b,f,a,b
94,2,12,a,2,4,b,c,b,b,a,1,3,a,1,b,b,a,b
95,1,3,a,2,4,b,d,a,r,g,3,1,b,3,b,f,a,b
96,1,11,a,4,13,b,c,h,i,a,2,4,a,1,b,b,a,b
97,19,20,a,4,12,b,d,f,r,i,0,3,a,3,b,h,c,b
98,19,11,b,0,8,b,d,f,k,i,2,0,a,1,b,h,a,b
99,7,18,a,3,18,b,d,h,r,f,1,0,a,1,b,f,a,b
100,3,22,a,5,8,b,c,f,i,c,1,10,a,1,b,b,a,b
101,4,1,b,1,7,b,d,f,n,i,1,5,b,1,b,f,a,b
102,7,3,b,2,6,b,c,a,i,a,0,2,b,1,b,b,a,b
103,2,19,a,0,0,b,d,b,n,f,4,2,b,2,b,f,g,b
104,5,7,b,2,7,b,d,f,k,i,1,4,a,1,b,f,a,b
105,1,20,a,4,11,b,d,f,k,f,1,0,b,1,b,f,a,b
106,4,8,a,1,7,b,d,h,r,i,2,0,a,1,b,f,a,b
107,1,11,a,1,1,b,c,b,b,a,1,6,b,2,b,b,f,b
108,7,6,b,1,4,b,e,a,k,g,1,0,b,1,d,f,a,b
109,4,18,a,4,4,b,d,e,r,i,0,1,b,1,b,g,a,b
110,1,6,a,4,9,b,d,d,r,i,1,1,a,1,b,f,a,b
111,13,9,a,6,2,b,d,h,k,f,1,0,a,1,b,f,b,c
112,15,10,a,0,18,b,d,f,r,f,4,0,b,1,b,h,a,b
113,2,6,a,0,18,d,c,a,a,f,0,0,b,1,b,b,a,b
114,5,13,b,2,8,b,c,f,b,c,4,3,a,1,b,b,a,b
115,1,11,a,1,2,b,d,f,m,f,2,0,b,1,b,h,a,b
116,1,16,b,2,4,b,d,b,r,i,0,0,b,1,b,h,a,b
117,1,13,a,0,6,b,c,a,i,a,1,4,a,1,b,b,a,b
118,1,5,b,3,1,a,d,b,r,i,1,1,b,1,b,f,f,b
119,5,22,a,2,10,b,d,f,r,i,0,1,b,1,b,f,a,b
120,1,11,a,1,11,b,d,f,k,i,1,8,b,2,b,f,a,b
121,1,16,b,3,8,b,c,a,b,c,0,3,b,3,b,b,a,b
122,1,17,a,4,3,b,c,g,b,a,0,0,a,1,b,b,a,d
123,16,14,a,5,4,b,d,a,r,g,1,2,b,3,b,f,a,b
124,6,11,a,4,15,b,d,f,k,i,0,10,b,1,b,f,a,b
125,1,9,a,3,1,b,c,f,b,b,1,0,a,2,b,b,a,b
